Customer ID,Churn Status
ADF0001,1.0
ADF0002,1.0
ADF0003,1.0
ADF0004,1.0
ADF0005,1.0
ADF0006,1.0
ADF0007,1.0
ADF0008,1.0
ADF0009,1.0
ADF0010,1.0
ADF0011,1.0
ADF0012,1.0
ADF0013,1.0
ADF0014,1.0
ADF0015,1.0
ADF0016,1.0
ADF0017,1.0
ADF0018,1.0
ADF0019,1.0
ADF0020,1.0
ADF0021,0.0
ADF0022,1.0
ADF0023,1.0
ADF0024,1.0
ADF0025,1.0
ADF0026,1.0
ADF0027,1.0
ADF0028,1.0
ADF0029,1.0
ADF0030,1.0
ADF0031,1.0
ADF0032,1.0
ADF0033,1.0
ADF0034,1.0
ADF0035,1.0
ADF0036,1.0
ADF0037,1.0
ADF0139,1.0
ADF0140,0.0
ADF0141,1.0
ADF0142,1.0
ADF0143,0.0
ADF0144,1.0
ADF0145,0.0
ADF0146,0.0
ADF0147,1.0
ADF0148,0.0
ADF0149,1.0
ADF0150,1.0
ADF0151,1.0
ADF0152,1.0
ADF0153,1.0
ADF0154,1.0
ADF0155,1.0
ADF0156,1.0
ADF0157,1.0
ADF0158,1.0
ADF0159,1.0
ADF0160,1.0
ADF0161,1.0
ADF0162,1.0
ADF0163,1.0
ADF0164,1.0
ADF0165,1.0
ADF0166,1.0
ADF0167,1.0
ADF0168,0.0
ADF0169,1.0
ADF0170,1.0
ADF0171,1.0
ADF0172,1.0
ADF0173,1.0
ADF0174,1.0
ADF0175,1.0
ADF0176,1.0
ADF0177,1.0
ADF0178,1.0
ADF0179,1.0
ADF0180,1.0
ADF0181,1.0
ADF0182,1.0
ADF0183,1.0
ADF0184,1.0
ADF0185,1.0
ADF0186,1.0
ADF0187,1.0
ADF0188,1.0
ADF0189,1.0
ADF0190,1.0
ADF0191,1.0
ADF0192,1.0
ADF0193,1.0
ADF0194,1.0
ADF0195,1.0
ADF0196,1.0
ADF0197,1.0
ADF0198,1.0
ADF0199,1.0
ADF0200,1.0
ADF0201,1.0
ADF0202,1.0
ADF0203,1.0
ADF0204,1.0
ADF0205,1.0
ADF0206,1.0
ADF0207,1.0
ADF0208,1.0
ADF0209,1.0
ADF0210,1.0
ADF0211,1.0
ADF0212,1.0
ADF0213,1.0
ADF0214,1.0
ADF0215,1.0
ADF0216,1.0
ADF0217,1.0
ADF0218,1.0
ADF0219,1.0
ADF0220,1.0
ADF0221,1.0
ADF0222,1.0
ADF0223,1.0
ADF0224,1.0
ADF0225,1.0
ADF0226,0.0
ADF0227,1.0
ADF0228,1.0
ADF0229,1.0
ADF0230,1.0
ADF0231,1.0
ADF0232,1.0
ADF0233,1.0
ADF0234,1.0
ADF0235,1.0
ADF0236,1.0
ADF0237,1.0
ADF0238,1.0
ADF0239,1.0
ADF0240,1.0
ADF0241,1.0
ADF0242,1.0
ADF0243,1.0
ADF0244,1.0
ADF0245,1.0
ADF0246,1.0
ADF0247,1.0
ADF0248,1.0
ADF0249,1.0
ADF0250,1.0
ADF0251,1.0
ADF0252,1.0
ADF0253,1.0
ADF0562,1.0
ADF0563,1.0
ADF0564,1.0
ADF0565,0.0
ADF0566,1.0
ADF0567,1.0
ADF0568,1.0
ADF0569,1.0
ADF0570,1.0
ADF0571,1.0
ADF0572,1.0
ADF0573,1.0
ADF0574,1.0
ADF0575,1.0
ADF0576,1.0
ADF0577,1.0
ADF0578,1.0
ADF0579,1.0
ADF0644,0.0
ADF0645,0.0
ADF0646,0.0
ADF0647,1.0
ADF0648,0.0
ADF0649,0.0
ADF0650,0.0
ADF0651,0.0
ADF0652,0.0
ADF0653,0.0
ADF0654,0.0
ADF0655,0.0
ADF0656,0.0
ADF0657,0.0
ADF0658,0.0
ADF0659,0.0
ADF0660,0.0
ADF0661,0.0
ADF0662,1.0
ADF0663,0.0
ADF0664,0.0
ADF0665,0.0
ADF0666,0.0
ADF0667,0.0
ADF0668,0.0
ADF0669,0.0
ADF0670,0.0
ADF0671,0.0
ADF0672,0.0
ADF0673,0.0
ADF0674,0.0
ADF0675,0.0
ADF0676,0.0
ADF0677,0.0
ADF0678,0.0
ADF0679,0.0
ADF0680,0.0
ADF0681,0.0
ADF0682,0.0
ADF0683,0.0
ADF0684,0.0
ADF0685,0.0
ADF0686,0.0
ADF0687,0.0
ADF0688,0.0
ADF0689,1.0
ADF0690,0.0
ADF0691,0.0
ADF0692,0.0
ADF0693,0.0
ADF0694,0.0
ADF0695,0.0
ADF0696,0.0
ADF0697,0.0
ADF0698,0.0
ADF0699,0.0
ADF0700,0.0
ADF0701,0.0
ADF0702,0.0
ADF0703,0.0
ADF0704,0.0
ADF0705,0.0
ADF0706,0.0
ADF0707,0.0
ADF0708,0.0
ADF0709,0.0
ADF0710,0.0
ADF0711,0.0
ADF0712,0.0
ADF0713,0.0
ADF0714,0.0
ADF0715,0.0
ADF0716,0.0
ADF0717,0.0
ADF0718,0.0
ADF0719,0.0
ADF0720,0.0
ADF0721,0.0
ADF0722,0.0
ADF0723,0.0
ADF0724,0.0
ADF0725,0.0
ADF0726,0.0
ADF0727,0.0
ADF0728,0.0
ADF0729,0.0
ADF0730,0.0
ADF0731,0.0
ADF0732,0.0
ADF0733,0.0
ADF0734,0.0
ADF0735,0.0
ADF0736,0.0
ADF0737,0.0
ADF0738,0.0
ADF0739,0.0
ADF0740,0.0
ADF0741,0.0
ADF0742,0.0
ADF0743,0.0
ADF0744,0.0
ADF0745,0.0
ADF0746,0.0
ADF0747,0.0
ADF0748,0.0
ADF0749,0.0
ADF0750,0.0
ADF0751,0.0
ADF0752,0.0
ADF0753,0.0
ADF0754,0.0
ADF0755,0.0
ADF0756,0.0
ADF0757,0.0
ADF0758,0.0
ADF0759,0.0
ADF0760,0.0
ADF0761,0.0
ADF0762,0.0
ADF0763,0.0
ADF0764,0.0
ADF0765,0.0
ADF0766,0.0
ADF0767,0.0
ADF0768,0.0
ADF0769,0.0
ADF0770,0.0
ADF0771,0.0
ADF0772,1.0
ADF0773,0.0
ADF0774,1.0
ADF0775,0.0
ADF0776,0.0
ADF0777,0.0
ADF0778,1.0
ADF0779,0.0
ADF0780,0.0
ADF0781,0.0
ADF0782,0.0
ADF0783,0.0
ADF0784,0.0
ADF0785,0.0
ADF0786,0.0
ADF0787,0.0
ADF0788,0.0
ADF0789,0.0
ADF0790,0.0
ADF0791,0.0
ADF0792,0.0
ADF0793,0.0
ADF0794,0.0
ADF0795,0.0
ADF0796,0.0
ADF0797,0.0
ADF0798,0.0
ADF0799,0.0
ADF0800,0.0
ADF0801,1.0
ADF0802,0.0
ADF0803,0.0
ADF0804,0.0
ADF0805,0.0
ADF0806,0.0
ADF0807,0.0
ADF0808,0.0
ADF0809,0.0
ADF0810,0.0
ADF0811,0.0
ADF0812,0.0
ADF0813,0.0
ADF0814,0.0
ADF0815,1.0
ADF0816,0.0
ADF0817,0.0
ADF0818,0.0
ADF0819,0.0
ADF0820,0.0
ADF0821,0.0
ADF0822,0.0
ADF0823,0.0
ADF0824,0.0
ADF0825,0.0
ADF0826,0.0
ADF0827,0.0
ADF0828,0.0
ADF0829,0.0
ADF0830,1.0
ADF0831,0.0
ADF0832,0.0
ADF0833,0.0
ADF0834,0.0
ADF0835,0.0
ADF0836,0.0
ADF0837,0.0
ADF0838,0.0
ADF0839,0.0
ADF0840,0.0
ADF0841,0.0
ADF0842,0.0
ADF0843,0.0
ADF0844,0.0
ADF0845,0.0
ADF0846,0.0
ADF0847,0.0
ADF0848,0.0
ADF0849,0.0
ADF0850,0.0
ADF0851,0.0
ADF0852,0.0
ADF0853,0.0
ADF0854,0.0
ADF0855,0.0
ADF0856,0.0
ADF0857,0.0
ADF0858,0.0
ADF0859,0.0
ADF0860,0.0
ADF0861,0.0
ADF0862,0.0
ADF0863,0.0
ADF0864,0.0
ADF0865,0.0
ADF0866,0.0
ADF0867,1.0
ADF0868,0.0
ADF0869,0.0
ADF0870,0.0
ADF0871,0.0
ADF0872,0.0
ADF0873,0.0
ADF0874,0.0
ADF0875,0.0
ADF0876,0.0
ADF0877,0.0
ADF0878,0.0
ADF0879,0.0
ADF0880,0.0
ADF0881,0.0
ADF0882,0.0
ADF0883,0.0
ADF0884,0.0
ADF0885,0.0
ADF0886,1.0
ADF0887,0.0
ADF0888,0.0
ADF0889,0.0
ADF0890,0.0
ADF0891,0.0
ADF0892,0.0
ADF0893,0.0
ADF0894,0.0
ADF0895,0.0
ADF0896,0.0
ADF0897,0.0
ADF0898,0.0
ADF0899,0.0
ADF0900,0.0
ADF0901,0.0
ADF0902,0.0
ADF0903,0.0
ADF0904,0.0
ADF0905,0.0
ADF0906,0.0
ADF0907,0.0
ADF0908,0.0
ADF0909,0.0
ADF0910,0.0
ADF0911,0.0
ADF0912,0.0
